Timestamp_ms,MotorLeft_Vel,MotorRight_Vel,AccelX,AccelY,AccelZ
1399308,-1.58,-1.50,0.37,0.14,9.64
1399318,-1.47,-1.48,0.30,0.22,9.74
1399328,-1.37,-1.39,0.18,0.27,9.69
1399338,-1.30,-1.38,0.17,0.12,9.82
1399348,-1.26,-1.31,0.24,0.10,9.76
1399358,-1.12,-1.25,0.28,-0.12,9.75
1399368,-1.05,-1.19,0.32,-0.24,9.52
1399378,-0.93,-1.08,0.16,-0.10,9.84
1399388,-0.86,-1.07,0.28,0.08,9.84
1399398,-0.83,-1.02,0.23,0.37,9.82
1399408,-0.75,-0.93,0.26,0.34,9.82
1399418,-0.74,-0.92,0.30,0.41,9.78
1399428,-0.74,-0.87,0.12,0.14,9.86
1399438,-0.71,-0.79,0.22,0.10,9.86
1399448,-0.74,-0.77,0.13,-0.02,9.95
1399458,-0.75,-0.76,0.10,-0.03,9.81
1399468,-0.80,-0.75,0.21,0.04,9.83
1399478,-0.85,-0.76,0.13,0.15,9.88
1399488,-0.89,-0.72,0.06,0.17,9.82
1399498,-0.95,-0.72,0.08,0.23,9.86
1399508,-0.99,-0.79,-0.01,0.24,9.88
1399518,-1.04,-0.86,0.04,0.19,9.81
1399528,-1.11,-0.82,0.13,0.02,9.78
1399538,-1.10,-0.86,0.03,-0.00,9.84
1399548,-1.14,-0.89,0.13,-0.10,9.85
1399558,-1.12,-0.91,0.24,-0.22,9.71
1399568,-0.97,-0.80,0.28,-0.08,9.69
1399578,-0.77,-0.67,0.33,0.14,9.55
1399588,-0.59,-0.60,0.30,0.28,9.63
1399598,-0.41,-0.42,0.26,0.33,9.67
1399608,-0.26,-0.31,0.25,0.25,9.75
1399618,-0.10,-0.24,0.11,0.05,9.87
1399628,0.02,-0.14,0.18,-0.13,9.83
1399638,0.08,-0.15,0.13,-0.20,9.92
1399648,0.05,-0.10,0.09,-0.11,9.87
1399658,0.09,-0.06,0.19,0.05,9.89
1399668,0.06,-0.04,0.10,0.23,9.85
1399678,0.10,0.04,0.15,0.38,9.81
1399688,0.07,0.03,0.15,0.39,9.85
1399698,0.11,0.08,0.15,0.29,9.80
1399708,0.07,0.12,0.13,0.15,9.82
1399718,0.05,0.08,0.08,-0.03,9.86
1399728,0.03,0.09,0.08,-0.12,9.85
1399738,0.07,0.11,0.06,-0.07,9.81
1399748,0.11,0.14,0.04,0.04,9.81
1399758,0.07,0.15,0.05,0.18,9.82
1399768,0.17,0.16,-0.01,0.26,9.82
1399778,0.11,0.16,0.04,0.31,9.78
1399788,0.19,0.21,-0.04,0.25,9.78
1399798,0.17,0.31,0.02,0.15,9.72
1399808,0.30,0.32,-0.02,0.07,9.78
1399818,0.31,0.38,0.03,-0.02,9.73
1399828,0.37,0.48,0.02,-0.01,9.75
1399838,0.41,0.53,0.03,0.04,9.69
1399848,0.49,0.63,0.04,0.08,9.69
1399858,0.58,0.73,0.04,0.15,9.72
1399868,0.64,0.86,0.05,0.20,9.72
1399878,0.82,0.96,0.09,0.22,9.61
1399888,0.91,1.10,0.05,0.26,9.68
1399898,1.00,1.22,0.22,0.17,9.60
1399908,1.09,1.37,0.06,0.12,9.70
1399918,1.15,1.51,0.14,0.16,9.91
1399928,1.27,1.62,0.06,-0.28,9.82
1399938,1.31,1.65,-0.00,-0.33,9.85
1399948,1.34,1.68,0.11,-0.20,10.10
1399958,1.42,1.64,-0.01,-0.12,9.75
1399968,1.39,1.67,0.08,0.09,9.82
1399978,1.50,1.63,0.13,0.37,9.83
1399988,1.50,1.64,0.17,0.53,9.66
1399998,1.57,1.63,0.11,0.50,9.94
1400008,1.62,1.60,0.06,-0.06,9.77
1400018,1.64,1.58,0.09,-0.30,9.83
1400028,1.66,1.43,0.04,-0.64,10.13
1400038,1.69,1.41,-0.05,-0.34,9.98
1400048,1.64,1.34,0.09,-0.11,9.90
1400058,1.48,1.31,0.06,0.20,9.90
1400068,1.44,1.23,0.12,0.73,9.82
1400078,1.39,1.25,0.32,0.85,9.60
1400088,1.33,1.35,0.19,0.88,9.70
1400098,1.34,1.41,0.26,0.46,9.67
1400108,1.36,1.52,0.21,-0.01,9.79
1400118,1.38,1.54,0.19,-0.41,9.83
1400128,1.42,1.49,0.16,-0.69,9.85
1400138,1.39,1.56,0.12,-0.40,10.05
1400148,1.43,1.47,0.06,0.11,9.88
1400158,1.38,1.46,0.13,0.35,9.87
1400168,1.35,1.40,0.20,0.48,9.69
1400178,1.38,1.35,0.25,0.43,9.70
1400188,1.44,1.35,0.19,0.20,9.75
1400198,1.47,1.34,0.27,-0.15,9.82
1400208,1.50,1.36,0.17,-0.48,9.81
1400218,1.52,1.30,0.17,-0.53,9.80
1400228,1.50,1.26,0.18,-0.42,9.92
1400238,1.52,1.26,0.14,-0.31,9.97
1400248,1.52,1.21,0.21,0.32,9.97
1400258,1.46,1.15,0.20,0.80,9.79
1400268,1.43,1.18,0.29,1.04,9.66
1400278,1.37,1.22,0.23,0.90,9.59
1400288,1.30,1.27,0.32,0.61,9.65
1400298,1.34,1.37,0.42,0.15,9.82
1400308,1.36,1.49,0.35,-0.37,9.77
1400318,1.38,1.56,0.28,-0.48,9.85
1400328,1.34,1.52,0.23,-0.44,9.91
1400338,1.39,1.50,0.07,-0.55,10.09
1400348,1.33,1.45,0.14,-0.17,9.97
